Vasco;O Club de Regatas Vasco da Gama, mais conhecido apenas por Vasco da Gama ou simplesmente Vasco, cujo acrônimo é CRVG, é uma entidade sócio-poliesportiva brasileira com sede na cidade do Rio de Janeiro, fundada em 21 de agosto de 1898 por um grupo de remadores.
Corinthians;Em 1º de setembro de 1910 um grupo de operários do bairro do Bom Retiro, localizado em São Paulo, inspirados na passagem de um time Inglês pelo Brasil, denominado Corinthian Football Club, criaram o Sport Club Corinthians Paulista.
Botafogo;Criado em 1874, o Grupo de Regatas Botafogo foi fundado pelo remador Luiz Caldas, conhecido como Almirante. Após a prisão de Caldas, por consequências do episódio conhecido como Revolta da Armada, e sua posterior morte, os sócios remanescentes do grupo se reuniram para regulamentar a criação do clube. 
Palmeiras;Sociedade Esportiva Palmeiras, conhecida popularmente como Palmeiras, é um clube poliesportivo brasileiro da cidade de São Paulo, capital do estado homônimo
São Paulo;Foi fundado em 25 de janeiro de 1930, tendo interrompido suas atividades em maio de 1935, e as retomado em dezembro do mesmo ano.
Santos;O Santos Futebol Clube foi fundado em 14 de abril de 1912. É, até hoje, o único time brasileiro que ganhou título em âmbito estadual, nacional, continental e mundial em um só ano - 1962. Também foi a primeira agremiação brasileira a alcançar a marca dos 10 mil gols marcados.
